sep=;
type;sourcename;sourceversion;device;unit;creationdate;startdate;enddate;value
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-28 00:54:05 +0300;2023-04-28 00:37:20 +0300;2023-04-28 00:49:54 +0300;15.474
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-28 01:04:54 +0300;2023-04-28 00:49:54 +0300;2023-04-28 01:00:22 +0300;15.286
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-28 01:36:52 +0300;2023-04-28 01:00:22 +0300;2023-04-28 01:35:59 +0300;43.88
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-28 02:16:50 +0300;2023-04-28 01:35:59 +0300;2023-04-28 01:36:09 +0300;0.21
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-28 02:40:35 +0300;2023-04-28 01:36:09 +0300;2023-04-28 02:36:09 +0300;73.911
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-28 02:55:15 +0300;2023-04-28 02:36:09 +0300;2023-04-28 02:39:25 +0300;4.016
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-28 17:57:25 +0300;2023-04-28 02:39:25 +0300;2023-04-28 03:39:25 +0300;73.911
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-28 17:57:25 +0300;2023-04-28 03:39:25 +0300;2023-04-28 04:39:25 +0300;73.911
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-28 17:57:25 +0300;2023-04-28 04:39:25 +0300;2023-04-28 05:39:25 +0300;73.911
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-28 17:57:25 +0300;2023-04-28 05:39:25 +0300;2023-04-28 06:39:25 +0300;73.911
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-28 17:57:25 +0300;2023-04-28 06:39:25 +0300;2023-04-28 07:39:25 +0300;73.911
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-28 17:57:25 +0300;2023-04-28 07:39:25 +0300;2023-04-28 08:39:25 +0300;73.911
